iter	Logloss
0	0.6420767685
1	0.585083062
2	0.5390650425
3	0.5009432629
4	0.4608865997
5	0.4208616463
6	0.3918385407
7	0.3651500539
8	0.3484958589
9	0.328853244
10	0.3092594319
11	0.288647384
12	0.2708715842
13	0.2588408702
14	0.2440497645
15	0.2366498932
16	0.2281667619
17	0.2198454237
18	0.2089513274
19	0.2025250003
20	0.1949784401
21	0.190229676
22	0.1841256988
23	0.1775075943
24	0.173748922
25	0.1693139203
26	0.1653435302
27	0.1609908876
28	0.1566047842
29	0.1526585561
30	0.150003959
31	0.1476074774
32	0.1440813993
33	0.1407427793
34	0.1387520995
35	0.1367557412
36	0.1343647377
37	0.1331837636
38	0.1312062732
39	0.1297002551
40	0.1281913872
41	0.1268612592
42	0.1261853959
43	0.1246916975
44	0.1236900602
45	0.1228682749
46	0.1213210587
47	0.1204902347
48	0.1196014299
49	0.1186333982
50	0.1177421179
51	0.1170290238
52	0.1163514008
53	0.1160917073
54	0.1152500403
55	0.114656066
56	0.1135591053
57	0.1132668936
58	0.1124560665
59	0.1121557032
60	0.1116028948
61	0.1113065087
62	0.1105655653
63	0.1101478453
64	0.1094790571
65	0.1091584821
66	0.1088613319
67	0.1083999233
68	0.1081845683
69	0.1078210478
70	0.1074833612
71	0.1072398845
72	0.106737889
73	0.1061177297
74	0.1058094318
75	0.1056188969
76	0.1053692754
77	0.1052109728
78	0.1050447764
79	0.104329476
80	0.1041824895
81	0.1037201453
82	0.1031921557
83	0.1030915358
84	0.1026927516
85	0.1026233806
86	0.102478264
87	0.1018757915
88	0.1012666223
89	0.1009088984
90	0.1007323254
91	0.1006979155
92	0.1005641547
93	0.1002082551
94	0.1000089552
95	0.09975273086
96	0.09963427584
97	0.09934730853
98	0.09907970851
99	0.098922175
100	0.09831926333
101	0.09790515076
102	0.09732482153
103	0.0972613787
104	0.09725254718
105	0.09720234351
106	0.09704949918
107	0.0965317881
108	0.09623585765
109	0.09577966047
110	0.09525616332
111	0.09513302779
112	0.09490049024
113	0.09458568723
114	0.09432917235
115	0.09366864191
116	0.09345152296
117	0.09306254004
118	0.09270645745
119	0.09262341045
120	0.09253737512
121	0.09250806393
122	0.09241758706
123	0.09233400481
124	0.09226634862
125	0.09215025489
126	0.09207860586
127	0.09182787926
128	0.0917627026
129	0.09145617694
130	0.09136805424
131	0.09124442502
132	0.09102308346
133	0.09051008192
134	0.09021551868
135	0.0897668621
136	0.08966247774
137	0.08915950311
138	0.08860835006
139	0.08856533668
140	0.08834597093
141	0.08792023908
142	0.08759345228
143	0.0873691536
144	0.08728513632
145	0.08719279367
146	0.08714795459
147	0.08659287031
148	0.08648876275
149	0.08626176412
150	0.08606745484
151	0.08584940116
152	0.0857801435
153	0.08534087914
154	0.08518301597
155	0.08496956729
156	0.08459174707
157	0.08424098426
158	0.08414691624
159	0.08384397143
160	0.08375394906
161	0.08366943501
162	0.08310460052
163	0.0828077103
164	0.08272517174
165	0.08233829563
166	0.08222982843
167	0.08221780123
168	0.08211000937
169	0.08191659479
170	0.08177538723
171	0.08160346271
172	0.08155214515
173	0.08151464564
174	0.08146528727
175	0.08105842377
176	0.08085938294
177	0.08067809249
178	0.0804828706
179	0.08027823969
180	0.08020375231
181	0.08015165121
182	0.07965522945
183	0.07906952446
184	0.07883119884
185	0.0785750001
186	0.07854455168
187	0.07805265658
188	0.07796141827
189	0.07777059279
190	0.07750694186
191	0.07713747895
192	0.07662386419
193	0.07615702362
194	0.07604927162
195	0.07554645744
196	0.07546890216
197	0.07516589538
198	0.07493938539
199	0.07464529372
200	0.07459117585
201	0.07427702481
202	0.0740379311
203	0.07360875812
204	0.07358104076
205	0.07336611775
206	0.07293717309
207	0.07250719797
208	0.07248350809
209	0.07231454912
210	0.07202226608
211	0.07172860576
212	0.07152322057
213	0.07114223111
214	0.07094934865
215	0.07087755
216	0.07052017612
217	0.0701177493
218	0.069867995
219	0.0698515758
220	0.06949574559
221	0.069446432
222	0.0694020186
223	0.06902053077
224	0.06876317774
225	0.06860151867
226	0.06851389809
227	0.06805508139
228	0.06774977606
229	0.06721820695
230	0.06700003031
231	0.06675664674
232	0.06637170761
233	0.06609357608
234	0.06599477159
235	0.06567682428
236	0.06531320268
237	0.06500522084
238	0.06480172229
239	0.064772292
240	0.06441509942
241	0.06416415142
242	0.06414523925
243	0.06401587191
244	0.06384344461
245	0.06372412663
246	0.06337389176
247	0.06323660559
248	0.06311316061
249	0.06299956674
250	0.06268939883
251	0.06243938006
252	0.06205502832
253	0.0618527329
254	0.06175222255
255	0.06174294398
256	0.06129283252
257	0.06115972709
258	0.06101438292
259	0.06092164069
260	0.06065863987
261	0.06034616409
262	0.060128594
263	0.05983557673
264	0.05946970777
265	0.05915118345
266	0.05869725451
267	0.05844485538
268	0.05815016571
269	0.05773513004
270	0.05764355452
271	0.05729950861
272	0.05708609125
273	0.05700867078
274	0.05663326704
275	0.05636104941
276	0.05622207219
277	0.05616113384
278	0.05599352468
279	0.05576819299
280	0.05572085573
281	0.05547503725
282	0.05508966022
283	0.05486843774
284	0.05474451412
285	0.05450275667
286	0.05449823396
287	0.05421435984
288	0.05395897617
289	0.05363058491
290	0.05328814182
291	0.05324362403
292	0.05320944085
293	0.05295421573
294	0.05264522589
295	0.05253892521
296	0.05235748128
297	0.05195350982
298	0.05169552071
299	0.05166035882
300	0.05140431942
301	0.05137940472
302	0.05127693335
303	0.05111819699
304	0.05104101075
305	0.05088631053
306	0.05061984835
307	0.05035816305
308	0.05028773286
309	0.05019047444
310	0.049925333
311	0.04964522221
312	0.04929722507
313	0.04919043519
314	0.04916112869
315	0.04914857015
316	0.04910371431
317	0.04871805607
318	0.04846704455
319	0.04827430293
320	0.04812106732
321	0.04804348473
322	0.04800743779
323	0.04786231186
324	0.04772905248
325	0.04743185762
326	0.04739678424
327	0.04720111829
328	0.04697744914
329	0.04677404816
330	0.04671593662
331	0.04644438427
332	0.04615190867
333	0.04592133008
334	0.04555854319
335	0.04540373349
336	0.04529254672
337	0.04504179373
338	0.04491837228
339	0.04471548089
340	0.04460398735
341	0.04440702388
342	0.04421055645
343	0.04409064765
344	0.04401869896
345	0.04385168128
346	0.0435919132
347	0.04356114108
348	0.04311186072
349	0.04294724784
350	0.04288320015
351	0.04266791249
352	0.04249800114
353	0.04245109099
354	0.04228072002
355	0.04202313245
356	0.04168662376
357	0.04152468132
358	0.0413566561
359	0.04128837705
360	0.04104766054
361	0.04098585063
362	0.04079306303
363	0.04059829445
364	0.04048178108
365	0.04026309608
366	0.0401051054
367	0.03995796978
368	0.03984671914
369	0.03971358721
370	0.03953769744
371	0.03945644398
372	0.03924504508
373	0.03913913236
374	0.03905838403
375	0.03889980494
376	0.03884212609
377	0.03868122747
378	0.03852922738
379	0.03834713912
380	0.03829777266
381	0.03802128923
382	0.03788024704
383	0.03771169161
384	0.03742229936
385	0.03725818621
386	0.0371866433
387	0.03697836713
388	0.03672240243
389	0.03668088953
390	0.03652874507
391	0.03630624846
392	0.03628580917
393	0.03615874709
394	0.03608139268
395	0.03590052613
396	0.03575870874
397	0.03561892176
398	0.03539032681
399	0.03526706178
400	0.03502002142
401	0.0347743533
402	0.03459619787
403	0.03434396609
404	0.03418329983
405	0.0340509621
406	0.03395447101
407	0.03376776618
408	0.0337059696
409	0.0335230136
410	0.03344002293
411	0.03332388197
412	0.03325759331
413	0.0332305274
414	0.03296789427
415	0.03282849674
416	0.03273072418
417	0.03270170022
418	0.0326747106
419	0.03258181625
420	0.03251428016
421	0.03242799236
422	0.0321388223
423	0.03204530161
424	0.03189742872
425	0.03185994765
426	0.03169184869
427	0.03153480764
428	0.03132188279
429	0.03118962513
430	0.03109277277
431	0.03099604395
432	0.03089719325
433	0.0308883223
434	0.03075204905
435	0.03069651738
436	0.0306297128
437	0.03046749325
438	0.03033606614
439	0.03014122059
440	0.03008800312
441	0.03000502729
442	0.02985734131
443	0.0297345002
444	0.02961115829
445	0.02948458354
446	0.02944770402
447	0.0293649564
448	0.02923081915
449	0.02914945722
450	0.02904476924
451	0.02900142608
452	0.02887631607
453	0.02880935014
454	0.02863393849
455	0.02847003489
456	0.02843721742
457	0.02839171708
458	0.02818602632
459	0.02803271506
460	0.02801197338
461	0.02792392186
462	0.02777297541
463	0.02765827893
464	0.02760706841
465	0.02752533278
466	0.0275186426
467	0.02741698122
468	0.02728219306
469	0.02727703296
470	0.02721805827
471	0.02706315096
472	0.02702708214
473	0.0270001461
474	0.02690868145
475	0.02681506313
476	0.02668358036
477	0.0266637934
478	0.02660696858
479	0.02647975576
480	0.02637369966
481	0.0262750867
482	0.02623049213
483	0.02611870338
484	0.0260719109
485	0.02605156117
